Valor;Preço
2001/07/01;1.641
2001/08/01;1.670
2001/09/01;1.668
2001/10/01;1.719
2001/11/01;1.723
2001/12/01;1.719
2002/01/01;1.547
2002/02/01;1.472
2002/03/01;1.535
2002/04/01;1.698
2002/05/01;1.704
2002/06/01;1.690
2002/07/01;1.743
2002/08/01;1.714
2002/09/01;1.711
2002/10/01;1.722
2002/11/01;1.946
2002/12/01;1.949
2003/01/01;2.094
2003/02/01;2.136
2003/03/01;2.123
2003/04/01;2.103
2003/05/01;2.019
2003/06/01;1.937
2003/07/01;1.891
2003/08/01;1.895
2003/09/01;1.925
2003/10/01;1.917
2003/11/01;1.911
2003/12/01;1.915
2004/01/01;1.921
2004/02/01;1.910
2004/03/01;1.890
2004/04/01;1.874
2004/05/01;1.893
2004/06/01;1.979
2004/07/01;2.030
2004/08/01;2.033
2004/09/01;2.032
2004/10/01;2.071
2004/11/01;2.109
2004/12/01;2.199
2005/01/01;2.196
2005/02/01;2.194
2005/03/01;2.189
2005/04/01;2.186
2005/05/01;2.175
2005/06/01;2.149
2005/07/01;2.153
2005/08/01;2.157
2005/09/01;2.293
2005/10/01;2.358
2005/11/01;2.356
2005/12/01;2.365
2006/01/01;2.393
2006/02/01;2.395
2006/03/01;2.489
2006/04/01;2.490
2006/05/01;2.468
2006/06/01;2.444
2006/07/01;2.451
2006/08/01;2.451
2006/09/01;2.442
2006/10/01;2.439
2006/11/01;2.425
2006/12/01;2.418
2007/01/01;2.426
2007/02/01;2.422
2007/03/01;2.417
2007/04/01;2.440
2007/05/01;2.455
2007/06/01;2.440
2007/07/01;2.419
2007/08/01;2.396
2007/09/01;2.384
2007/10/01;2.380
2007/11/01;2.388
2007/12/01;2.401
2008/01/01;2.400
2008/02/01;2.395
2008/03/01;2.396
2008/04/01;2.396
2008/05/01;2.404
2008/06/01;2.398
2008/07/01;2.400
2008/08/01;2.405
2008/09/01;2.403
2008/10/01;2.409
2008/11/01;2.412
2008/12/01;2.412
2009/01/01;2.409
2009/02/01;2.411
2009/03/01;2.407
2009/04/01;2.392
2009/05/01;2.388
2009/06/01;2.375
2009/07/01;2.371
2009/08/01;2.374
2009/09/01;2.380
2009/10/01;2.424
2009/11/01;2.444
2009/12/01;2.454
2010/01/01;2.490
2010/02/01;2.518
2010/03/01;2.483
2010/04/01;2.454
2010/05/01;2.436
2010/06/01;2.424
2010/07/01;2.428
2010/08/01;2.434
2010/09/01;2.437
2010/10/01;2.470
2010/11/01;2.483
2010/12/01;2.499
2011/01/01;2.507
2011/02/01;2.510
2011/03/01;2.566
2011/04/01;2.728
2011/05/01;2.763
2011/06/01;2.665
2011/07/01;2.666
2011/08/01;2.663
2011/09/01;2.658
2011/10/01;2.665
2011/11/01;2.658
2011/12/01;2.659
2012/01/01;2.649
2012/02/01;2.641
2012/03/01;2.656
2012/04/01;2.652
2012/05/01;2.638
2012/06/01;2.636
2012/07/01;2.629
2012/08/01;2.621
2012/09/01;2.627
2012/10/01;2.628
2012/11/01;2.627
2012/12/01;2.638

