Data;Valor
2007/01/01;10784001.00
2007/02/01;13146791.00
2007/03/01;14970184.00
2007/04/01;10188461.00
2007/05/01;8950960.00
2007/06/01;4237027.00
2007/07/01;5706003.00
2007/08/01;6517485.00
2007/09/01;6646763.00
2007/10/01;10852503.00
2007/11/01;8862258.00
2007/12/01;13970896.00
2008/01/01;18341985.00
2008/02/01;17434681.00
2008/03/01;15146321.00
2008/04/01;16065169.00
2008/05/01;11325499.00
2008/06/01;7946615.00
2008/07/01;9598570.00
2008/08/01;9585533.00
2008/09/01;8486022.00
2008/10/01;27038244.00
2008/11/01;11992643.00
2008/12/01;14507371.00
2009/01/01;13035129.00
2009/02/01;8049663.00
2009/03/01;16459871.00
2009/04/01;15518751.00
2009/05/01;10745580.00
2009/06/01;3993502.00
2009/07/01;6671299.00
2009/08/01;5486791.00
2009/09/01;5748439.00
2009/10/01;11015595.00
2009/11/01;9540486.00
2009/12/01;14182509.00
2010/01/01;18606519.00
2010/02/01;9328028.00
2010/03/01;23638862.00
2010/04/01;19263560.00
2010/05/01;8705249.00
2010/06/01;6060052.00
2010/07/01;5783175.00
2010/08/01;13774900.00
2010/09/01;11769225.00
2010/10/01;13904298.00
2010/11/01;13276696.00
2010/12/01;19331288.00
2011/01/01;21111865.00
2011/02/01;20572922.00
2011/03/01;18830114.00
2011/04/01;15860662.00
2011/05/01;14788488.00
2011/06/01;15038955.00
2011/07/01;9279651.00
2011/08/01;21348109.00
2011/09/01;17308164.00
2011/10/01;17426167.00
2011/11/01;14043035.00
2011/12/01;25137066.00
2012/01/01;28981499.00
2012/02/01;23011362.00
2012/03/01;21439099.00
2012/04/01;35649135.00
2012/05/01;13672279.00
2012/06/01;7154746.00
2012/07/01;11267922.00
2012/08/01;11520874.00
2012/09/01;15984762.00
2012/10/01;15319502.00
2012/11/01;15650863.00
2012/12/01;12434550.00
2013/01/01;17899301.00
2013/02/01;17584543.00
2013/03/01;17166495.00
2013/04/01;20093425.00
2013/05/01;7779102.00
2013/06/01;8625660.00
2013/07/01;6893812.00
2013/08/01;10966480.00
2013/09/01;8148040.00
2013/10/01;10101763.00
2013/11/01;11158945.00
2013/12/01;17313169.00
2014/01/01;12019475.00
2014/02/01;17786682.00
2014/03/01;17306640.00
2014/04/01;24654565.00
2014/05/01;11514499.00
2014/06/01;16321626.00
2014/07/01;9547310.00
2014/08/01;4851252.00
2014/09/01;18665110.00
2014/10/01;11624446.00
2014/11/01;11836589.00
2014/12/01;15492551.00
2015/01/01;9636913.00
2015/02/01;8792186.00
2015/03/01;15260244.00
2015/04/01;27685162.00
2015/05/01;7819246.00
2015/06/01;6861342.00
2015/07/01;11671581.00
2015/08/01;9772796.00
2015/09/01;9142618.00
2015/10/01;12026923.00
2015/11/01;11112199.00
2015/12/01;18120882.00
2016/01/01;9814511.00
2016/02/01;8692953.00
2016/03/01;18408064.00
2016/04/01;14451485.00
2016/05/01;9849445.00
2016/06/01;7029546.00
2016/07/01;5856995.00
2016/08/01;8220650.00
2016/09/01;13673037.00
2016/10/01;9405052.00
2016/11/01;23472277.00
2016/12/01;28823172.00
2017/01/01;11456812.00
2017/02/01;11750141.00
2017/03/01;11548782.00
2017/04/01;5973152.00
2017/05/01;8738562.00
2017/06/01;12578134.00
2017/07/01;8676746.00
